celltype,rank,gene,attribution,type
CD4+/CD45RO+ Memory,8,HVCN1,-0.00012899109,bottom
CD4+/CD45RO+ Memory,9,NCOA4,-0.00012616195,bottom
CD4+/CD45RO+ Memory,10,HLA-DMA,-0.000119552424,bottom
CD4+/CD45RO+ Memory,11,PRF1,-0.00011722741,bottom
CD4+/CD45RO+ Memory,12,CFD,-0.00011287424,bottom
CD4+/CD45RO+ Memory,13,ABI3,-0.000109309025,bottom
CD4+/CD45RO+ Memory,14,ID3,-0.00010839353,bottom
CD4+/CD45RO+ Memory,15,NCR3,-0.000103926664,bottom
CD56+ NK,1,FCGR3A,0.0011850699,top
CD56+ NK,2,GZMB,0.0011491241,top
CD56+ NK,3,TYROBP,0.0011201237,top
CD56+ NK,4,FGFBP2,0.0010123856,top
CD56+ NK,5,GZMH,0.0008370435,top
CD56+ NK,6,PRF1,0.0006506343,top
CD56+ NK,7,CLIC3,0.00064872805,top
CD56+ NK,8,S1PR5,0.000634204,top
CD56+ NK,9,CST7,0.0006210751,top
CD56+ NK,10,CCL4,0.0006053599,top
CD56+ NK,11,CTSW,0.0006026887,top
CD56+ NK,12,PRSS23,0.00060138095,top
CD56+ NK,13,GZMA,0.0005926488,top
CD56+ NK,14,GNLY,0.0005919284,top
CD56+ NK,15,CCL3,0.00053000153,top
CD56+ NK,1,HLA-DRA,-0.00031247907,bottom
CD56+ NK,2,HLA-DRB1,-0.00027929666,bottom
CD56+ NK,3,HLA-DRB5,-0.0002761764,bottom
CD56+ NK,4,CD4,-0.00024350862,bottom
CD56+ NK,5,LGALS3,-0.0002394657,bottom
CD56+ NK,6,CCR10,-0.00023412296,bottom
CD56+ NK,7,HLA-DQB1,-0.00021071671,bottom
CD56+ NK,8,TNFRSF1B,-0.0002029061,bottom
CD56+ NK,9,CD79B,-0.00019670313,bottom
CD56+ NK,10,HLA-DPA1,-0.00019455992,bottom
CD56+ NK,11,HLA-DPB1,-0.00019384523,bottom
CD56+ NK,12,LTB,-0.00018183168,bottom
CD56+ NK,13,CAPG,-0.00017734083,bottom
