class,rank,type,gene_index,score,gene_name
CD4+/CD45RO+ Memory,14,top,2213,0.19094118475914,CCL5
CD4+/CD45RO+ Memory,15,top,12396,0.1873966604471206,S100A6
CD4+/CD45RO+ Memory,1,bottom,12255,-0.1870789229869842,RPS27A
CD4+/CD45RO+ Memory,2,bottom,12177,-0.1794292479753494,RPL14
CD4+/CD45RO+ Memory,3,bottom,4247,-0.1636316478252411,EEF1A1
CD4+/CD45RO+ Memory,4,bottom,12198,-0.1499119699001312,RPL34
CD4+/CD45RO+ Memory,5,bottom,12248,-0.1481752097606659,RPS19
CD4+/CD45RO+ Memory,6,bottom,12253,-0.1424742937088012,RPS25
CD4+/CD45RO+ Memory,7,bottom,12187,-0.1383504718542099,RPL23A
CD4+/CD45RO+ Memory,8,bottom,12217,-0.1368922442197799,RPL7
CD4+/CD45RO+ Memory,9,bottom,12280,-0.1244117617607116,RPSA
CD4+/CD45RO+ Memory,10,bottom,12191,-0.1127385720610618,RPL27A
CD4+/CD45RO+ Memory,11,bottom,14886,-0.1126939579844474,TMSB4X
CD4+/CD45RO+ Memory,12,bottom,5308,-0.1064246445894241,FTH1
CD4+/CD45RO+ Memory,13,bottom,12194,-0.1038844436407089,RPL29
CD4+/CD45RO+ Memory,14,bottom,12197,-0.1029453203082084,RPL32
CD4+/CD45RO+ Memory,15,bottom,12220,-0.1017505154013633,RPLP0
CD8+/CD45RA+ Naive Cytotoxic,1,top,2344,0.8345422744750977,CD7
CD8+/CD45RA+ Naive Cytotoxic,2,top,2352,0.6946974992752075,CD8B
CD8+/CD45RA+ Naive Cytotoxic,3,top,6769,0.4453372359275818,IL32
CD8+/CD45RA+ Naive Cytotoxic,4,top,6094,0.325465977191925,GZMM
CD8+/CD45RA+ Naive Cytotoxic,5,top,5308,0.3209460973739624,FTH1
CD8+/CD45RA+ Naive Cytotoxic,6,top,2351,0.2934620380401611,CD8A
CD8+/CD45RA+ Naive Cytotoxic,7,top,7644,0.2830951511859894,LDHB
CD8+/CD45RA+ Naive Cytotoxic,8,top,11396,0.2570246756076813,PTMA
CD8+/CD45RA+ Naive Cytotoxic,9,top,409,0.218722328543663,AIF1
CD8+/CD45RA+ Naive Cytotoxic,10,top,12401,0.2161159664392471,S100B
CD8+/CD45RA+ Naive Cytotoxic,11,top,6592,0.2083831131458282,IER2
CD8+/CD45RA+ Naive Cytotoxic,12,top,1531,0.1953090280294418,BTG1
CD8+/CD45RA+ Naive Cytotoxic,13,top,2615,0.1865969896316528,CFL1
CD8+/CD45RA+ Naive Cytotoxic,14,top,7046,0.176792100071907,JUNB
CD8+/CD45RA+ Naive Cytotoxic,15,top,12260,0.1688561141490936,RPS2
CD8+/CD45RA+ Naive Cytotoxic,1,bottom,12196,-0.2581868171691894,RPL31
CD8+/CD45RA+ Naive Cytotoxic,2,bottom,12184,-0.1480869799852371,RPL21
CD8+/CD45RA+ Naive Cytotoxic,3,bottom,12213,-0.1315085887908935,RPL5
CD8+/CD45RA+ Naive Cytotoxic,4,bottom,12204,-0.1302776485681533,RPL37A
CD8+/CD45RA+ Naive Cytotoxic,5,bottom,12265,-0.126487985253334,RPS5
CD8+/CD45RA+ Naive Cytotoxic,6,bottom,4141,-0.1240858286619186,DUSP1
CD8+/CD45RA+ Naive Cytotoxic,7,bottom,12192,-0.1225658059120178,RPL27
CD8+/CD45RA+ Naive Cytotoxic,8,bottom,7340,-0.1196049600839614,KLF6
CD8+/CD45RA+ Naive Cytotoxic,9,bottom,12277,-0.108535885810852,RPS7
CD8+/CD45RA+ Naive Cytotoxic,10,bottom,2851,-0.1081932187080383,CLIC1
CD8+/CD45RA+ Naive Cytotoxic,11,bottom,12261,-0.1015062853693962,RPS3A
CD8+/CD45RA+ Naive Cytotoxic,12,bottom,7737,-0.0959497466683387,LIMS1
CD8+/CD45RA+ Naive Cytotoxic,13,bottom,12217,-0.0955600142478942,RPL7
CD8+/CD45RA+ Naive Cytotoxic,14,bottom,12214,-0.093350850045681,RPL6
CD8+/CD45RA+ Naive Cytotoxic,15,bottom,12253,-0.0903672203421592,RPS25
CD14+ Monocyte,1,top,12400,0.8009718060493469,S100A9
CD14+ Monocyte,2,top,3309,0.6319310665130615,CST3
CD14+ Monocyte,3,top,12399,0.5053417682647705,S100A8
CD14+ Monocyte,4,top,5024,0.4874871969223022,FCN1
CD14+ Monocyte,5,top,14730,0.4038929045200348,TMEM176B
CD14+ Monocyte,6,top,7965,0.3778959214687347,LST1
CD14+ Monocyte,7,top,8035,0.3769561052322387,LYZ
CD14+ Monocyte,8,top,15461,0.3627167642116546,TYMP
CD14+ Monocyte,9,top,2607,0.3593339323997497,CFD
CD14+ Monocyte,10,top,11271,0.2586518228054046,PSAP
CD14+ Monocyte,11,top,12210,0.2357576638460159,RPL3
CD14+ Monocyte,12,top,6294,0.2323555052280426,HLA-DRA
CD14+ Monocyte,13,top,2276,0.2314382046461105,CD14
CD14+ Monocyte,14,top,12678,0.212026908993721,SERPINA1
CD14+ Monocyte,15,top,13657,0.2092244327068328,SPI1
CD14+ Monocyte,1,bottom,5308,-0.1392950266599655,FTH1
CD14+ Monocyte,2,bottom,12394,-0.1042427644133567,S100A4
CD14+ Monocyte,3,bottom,5310,-0.0775916054844856,FTL
CD14+ Monocyte,4,bottom,874,-0.0735316425561904,ARHGDIB
CD14+ Monocyte,5,bottom,16898,-0.0729755163192749,SLC25A6
CD14+ Monocyte,6,bottom,12279,-0.0689947381615638,RPS9
CD14+ Monocyte,7,bottom,92,-0.0689922124147415,ABI3
CD14+ Monocyte,8,bottom,6576,-0.0600756220519542,ID2
CD14+ Monocyte,9,bottom,9749,-0.0576337724924087,OAZ1
CD14+ Monocyte,10,bottom,6291,-0.0576059445738792,HLA-DQA2
CD14+ Monocyte,11,bottom,4928,-0.0540887229144573,FAU
CD14+ Monocyte,12,bottom,3473,-0.0535798296332359,CYBA
CD14+ Monocyte,13,bottom,12667,-0.0528861731290817,SERF2
CD14+ Monocyte,14,bottom,12396,-0.0520236901938915,S100A6
CD14+ Monocyte,15,bottom,12189,-0.0490227788686752,RPL24
Dendritic,1,top,8035,0.9488782286643982,LYZ
Dendritic,2,top,3309,0.7858393788337708,CST3
Dendritic,3,top,6294,0.7000659704208374,HLA-DRA
Dendritic,4,top,6291,0.4344063401222229,HLA-DQA2
Dendritic,5,top,6296,0.4074976444244385,HLA-DRB5
Dendritic,6,top,6295,0.3932873904705047,HLA-DRB1
Dendritic,7,top,6288,0.3777066171169281,HLA-DPA1
Dendritic,8,top,6290,0.3727180063724518,HLA-DQA1
Dendritic,9,top,15464,0.3582406044006347,TYROBP
Dendritic,10,top,3176,0.3536303043365478,CPVL
Dendritic,11,top,13657,0.3335606455802917,SPI1
Dendritic,12,top,6292,0.315183013677597,HLA-DQB1
Dendritic,13,top,7678,0.302523672580719,LGALS1
Dendritic,14,top,2618,0.2809376120567322,CFP
Dendritic,15,top,6289,0.2723314762115478,HLA-DPB1
Dendritic,1,bottom,5308,-0.1255619525909423,FTH1
Dendritic,2,bottom,11396,-0.1027217358350753,PTMA
Dendritic,3,bottom,6162,-0.1002113744616508,HCST
Dendritic,4,bottom,14884,-0.0977239534258842,TMSB10
Dendritic,5,bottom,3473,-0.0902192145586013,CYBA
Dendritic,6,bottom,2329,-0.0803249031305313,CD52
Dendritic,7,bottom,409,-0.0769828259944915,AIF1
Dendritic,8,bottom,10416,-0.0739806592464447,PFN1
Dendritic,9,bottom,11309,-0.0661443471908569,PSMB8
Dendritic,10,bottom,14730,-0.0623485296964645,TMEM176B
Dendritic,11,bottom,7975,-0.0606783889234066,LTB
Dendritic,12,bottom,9041,-0.0605182014405727,NACA
Dendritic,13,bottom,6616,-0.0603116266429424,IFITM3
Dendritic,14,bottom,2359,-0.0592887848615646,CDA
Dendritic,15,bottom,4318,-0.0583034120500087,EIF1
CD34+,1,top,5730,0.6093152165412903,GNG11
CD34+,2,top,13590,0.4152122139930725,SPARC
CD34+,3,top,2895,0.4006287753582001,CLU
CD34+,4,top,3309,0.3020810484886169,CST3
CD34+,5,top,10933,0.3007725179195404,PPBP
CD34+,6,top,162,0.269240528345108,ACRBP
CD34+,7,top,15400,0.2470861673355102,TUBB1
CD34+,8,top,7737,0.2466274946928024,LIMS1
CD34+,9,top,10326,0.2229716032743454,PDLIM1
CD34+,10,top,2914,0.2164573967456817,CMTM5
CD34+,11,top,13438,0.2138114720582962,SNCA
CD34+,12,top,15111,0.2124204188585281,TREML1
CD34+,13,top,9584,0.2082311809062957,NRGN
CD34+,14,top,5801,0.1954831629991531,GP9
CD34+,15,top,8631,0.1604149043560028,MPP1
CD34+,1,bottom,11396,-0.0627573877573013,PTMA
CD34+,2,bottom,7975,-0.0622242055833339,LTB
CD34+,3,bottom,6283,-0.0521027036011219,HLA-C
CD34+,4,bottom,12220,-0.0394522473216056,RPLP0
CD34+,5,bottom,6592,-0.0379183962941169,IER2
CD34+,6,bottom,5938,-0.0373851731419563,GRAP2
CD34+,7,bottom,1531,-0.0367729850113391,BTG1
CD34+,8,bottom,12237,-0.0364506356418132,RPS10
CD34+,9,bottom,7046,-0.0344450064003467,JUNB
CD34+,10,bottom,15805,-0.0343573167920112,VIM
CD34+,11,bottom,11910,-0.0342632234096527,RGS10
CD34+,12,bottom,15495,-0.0327926650643348,UBB
CD34+,13,bottom,12251,-0.0327761806547641,RPS23
CD34+,14,bottom,2615,-0.03254109993577,CFL1
CD34+,15,bottom,2344,-0.032337300479412,CD7
CD4+/CD45RA+/CD25- Naive T,1,top,2328,1.389501452445984,CD4
CD4+/CD45RA+/CD25- Naive T,2,top,2344,0.3960925042629242,CD7
CD4+/CD45RA+/CD25- Naive T,3,top,6094,0.2506585121154785,GZMM
CD4+/CD45RA+/CD25- Naive T,4,top,6684,0.2222924381494522,IGLL5
CD4+/CD45RA+/CD25- Naive T,5,top,409,0.1782345473766327,AIF1
CD4+/CD45RA+/CD25- Naive T,6,top,3309,0.1416676342487335,CST3
CD4+/CD45RA+/CD25- Naive T,7,top,9466,0.1283539235591888,NOSIP
CD4+/CD45RA+/CD25- Naive T,8,top,2761,0.1259518414735794,CIRBP
