class,rank,type,gene_index,score
9,15,bottom,12253,-0.09036722034215927
0,1,top,12400,0.8009718060493469
0,2,top,3309,0.6319310665130615
0,3,top,12399,0.5053417682647705
0,4,top,5024,0.48748719692230225
0,5,top,14730,0.4038929045200348
0,6,top,7965,0.37789592146873474
0,7,top,8035,0.37695610523223877
0,8,top,15461,0.36271676421165466
0,9,top,2607,0.35933393239974976
0,10,top,11271,0.25865182280540466
0,11,top,12210,0.23575766384601593
0,12,top,6294,0.2323555052280426
0,13,top,2276,0.23143820464611053
0,14,top,12678,0.212026908993721
0,15,top,13657,0.20922443270683289
0,1,bottom,5308,-0.13929502665996552
0,2,bottom,12394,-0.10424276441335678
0,3,bottom,5310,-0.07759160548448563
0,4,bottom,874,-0.07353164255619049
0,5,bottom,16898,-0.0729755163192749
0,6,bottom,12279,-0.06899473816156387
0,7,bottom,92,-0.06899221241474152
0,8,bottom,6576,-0.06007562205195427
0,9,bottom,9749,-0.05763377249240875
0,10,bottom,6291,-0.05760594457387924
0,11,bottom,4928,-0.05408872291445732
0,12,bottom,3473,-0.05357982963323593
0,13,bottom,12667,-0.052886173129081726
0,14,bottom,12396,-0.052023690193891525
0,15,bottom,12189,-0.04902277886867523
10,1,top,8035,0.9488782286643982
10,2,top,3309,0.7858393788337708
10,3,top,6294,0.7000659704208374
10,4,top,6291,0.4344063401222229
10,5,top,6296,0.4074976444244385
10,6,top,6295,0.39328739047050476
10,7,top,6288,0.3777066171169281
10,8,top,6290,0.3727180063724518
10,9,top,15464,0.35824060440063477
10,10,top,3176,0.35363030433654785
10,11,top,13657,0.33356064558029175
10,12,top,6292,0.31518301367759705
10,13,top,7678,0.302523672580719
10,14,top,2618,0.2809376120567322
10,15,top,6289,0.27233147621154785
10,1,bottom,5308,-0.12556195259094238
10,2,bottom,11396,-0.10272173583507538
10,3,bottom,6162,-0.10021137446165085
10,4,bottom,14884,-0.09772395342588425
10,5,bottom,3473,-0.09021921455860138
10,6,bottom,2329,-0.08032490313053131
10,7,bottom,409,-0.07698282599449158
10,8,bottom,10416,-0.0739806592464447
10,9,bottom,11309,-0.06614434719085693
10,10,bottom,14730,-0.06234852969646454
10,11,bottom,7975,-0.0606783889234066
10,12,bottom,9041,-0.06051820144057274
10,13,bottom,6616,-0.06031162664294243
10,14,bottom,2359,-0.059288784861564636
10,15,bottom,4318,-0.058303412050008774
2,1,top,5730,0.6093152165412903
2,2,top,13590,0.4152122139930725
2,3,top,2895,0.4006287753582001
2,4,top,3309,0.30208104848861694
2,5,top,10933,0.3007725179195404
2,6,top,162,0.26924052834510803
2,7,top,15400,0.24708616733551025
2,8,top,7737,0.24662749469280243
2,9,top,10326,0.2229716032743454
2,10,top,2914,0.21645739674568176
2,11,top,13438,0.2138114720582962
2,12,top,15111,0.21242041885852814
2,13,top,9584,0.20823118090629578
2,14,top,5801,0.19548316299915314
2,15,top,8631,0.1604149043560028
2,1,bottom,11396,-0.06275738775730133
2,2,bottom,7975,-0.06222420558333397
2,3,bottom,6283,-0.0521027036011219
2,4,bottom,12220,-0.03945224732160568
2,5,bottom,6592,-0.037918396294116974
2,6,bottom,5938,-0.03738517314195633
2,7,bottom,1531,-0.03677298501133919
2,8,bottom,12237,-0.03645063564181328
2,9,bottom,7046,-0.034445006400346756
2,10,bottom,15805,-0.03435731679201126
2,11,bottom,11910,-0.03426322340965271
2,12,bottom,15495,-0.03279266506433487
2,13,bottom,12251,-0.032776180654764175
2,14,bottom,2615,-0.032541099935770035
2,15,bottom,2344,-0.03233730047941208
5,1,top,2328,1.3895014524459839
5,2,top,2344,0.3960925042629242
5,3,top,6094,0.2506585121154785
5,4,top,6684,0.2222924381494522
5,5,top,409,0.1782345473766327
5,6,top,3309,0.14166763424873352
5,7,top,9466,0.12835392355918884
5,8,top,2761,0.1259518414735794
5,9,top,1530,0.12583202123641968
5,10,top,6592,0.12501965463161469
5,11,top,2302,0.11451061069965363
5,12,top,10018,0.11201946437358856
5,13,top,5163,0.11092258989810944
5,14,top,7644,0.10758711397647858
5,15,top,5601,0.10682009905576706
5,1,bottom,12253,-0.1878654658794403
5,2,bottom,12195,-0.17323647439479828
5,3,bottom,12213,-0.15126216411590576
5,4,bottom,4250,-0.1464047133922577
5,5,bottom,12242,-0.14523711800575256
5,6,bottom,12217,-0.14410686492919922
5,7,bottom,12177,-0.14133431017398834
5,8,bottom,12170,-0.13669411838054657
5,9,bottom,12187,-0.12324889004230499
5,10,bottom,12394,-0.12109031528234482
5,11,bottom,12182,-0.11586521565914154
5,12,bottom,12222,-0.11191660165786743
5,13,bottom,12212,-0.11111979931592941
5,14,bottom,12240,-0.11036744713783264
5,15,bottom,12203,-0.10998548567295074
3,1,top,9358,0.13522854447364807
3,2,top,7404,0.11153623461723328
3,3,top,5745,0.1115172728896141
3,4,top,6295,0.07560066133737564
3,5,top,7678,0.06873490661382675
3,6,top,6090,0.0683826133608818
3,7,top,8005,0.06589394807815552
3,8,top,4078,0.06283757090568542
3,9,top,14173,0.059205666184425354
3,10,top,15464,0.05701230466365814
3,11,top,12399,0.056742776185274124
3,12,top,6091,0.05501122400164604
3,13,top,12614,0.054044660180807114
3,14,top,4347,0.05211654305458069
3,15,top,6288,0.04579878970980644
3,1,bottom,6769,-0.09618360549211502
3,2,bottom,2297,-0.06475138664245605
3,3,bottom,2344,-0.06424767524003983
3,4,bottom,6592,-0.06319568306207657
3,5,bottom,2321,-0.05509335175156593
3,6,bottom,12191,-0.05147909000515938
3,7,bottom,12239,-0.05084012448787689
3,8,bottom,5308,-0.04752637445926666
3,9,bottom,12178,-0.047384317964315414
3,10,bottom,12187,-0.047207076102495193
3,11,bottom,12205,-0.04619845747947693
3,12,bottom,14921,-0.03966902196407318
3,13,bottom,5601,-0.03870396316051483
3,14,bottom,6262,-0.03824565187096596
3,15,bottom,9466,-0.03332526236772537
